time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-08T02:09:06.180Z,18.0096666666667,-66.8605,17.54,1.62,md,5,260,,0.08,pr,pr71333488,2022-02-08T02:32:11.470Z,"1 km ESE of Palomas, Puerto Rico",earthquake,0.92,0.71,0.0506260930393827,5,reviewed,pr,pr
2022-02-08T01:59:58.810Z,19.1671657562256,-155.469665527344,35.2000007629395,2.22000003,md,34,161,,0.140000001,hv,hv72908112,2022-02-08T02:03:10.890Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.64,0.610000014,1.11000001,3,automatic,hv,hv
2022-02-08T01:57:32.840Z,33.3646667,-116.3678333,8.55,1.02,ml,33,52,0.04879,0.19,ci,ci40179688,2022-02-08T02:01:14.370Z,"12km N of Borrego Springs, CA",earthquake,0.27,0.67,0.172,26,automatic,ci,ci
2022-02-08T01:51:32.510Z,19.2268333435059,-155.393325805664,29.6599998474121,1.96000004,md,34,152,,0.150000006,hv,hv72908102,2022-02-08T01:54:51.480Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.7,1.10000002,1.03999996,12,automatic,hv,hv
2022-02-08T01:51:28.388Z,60.7536,-151.897,88,1.5,ml,,,,0.29,ak,ak0221siuykk,2022-02-08T01:57:02.983Z,"33 km WNW of Nikiski, Alaska",earthquake,,1.9,,,automatic,ak,ak
2022-02-08T01:40:04.110Z,35.9325,-117.7135,3.3,1.04,ml,14,71,0.08621,0.15,ci,ci40179680,2022-02-08T01:43:36.194Z,"17km E of Little Lake, CA",earthquake,0.26,0.99,0.1,11,automatic,ci,ci
2022-02-08T01:37:08.566Z,60.5455,-144.0178,0,1.8,ml,,,,0.78,ak,ak0221sirx0o,2022-02-08T01:40:11.055Z,"Southern Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-08T01:12:44.840Z,38.8291664,-122.814003,1.87,0.87,md,22,44,0.006529,0.02,nc,nc73689896,2022-02-08T03:28:14.787Z,"8km NW of The Geysers, CA",earthquake,0.2,0.38,0.3,4,automatic,nc,nc
2022-02-08T01:10:56.759Z,64.0409,-148.7987,0,2.4,ml,,,,1.05,ak,ak0221sim8d6,2022-02-08T01:22:29.293Z,"15 km E of Ferry, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-02-08T01:09:56.370Z,60.9326,-150.8386,35.9,1.4,ml,,,,1.01,ak,ak0221sim0ns,2022-02-08T01:14:38.088Z,"8 km W of Point Possession, Alaska",earthquake,,5.9,,,automatic,ak,ak
2022-02-08T01:02:52.039Z,64.9774,-147.479,0.1,1.6,ml,,,,0.98,ak,ak0221sikick,2022-02-08T01:06:17.004Z,"6 km ENE of Fox, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-02-08T00:58:42.841Z,54.8953,156.5292,10,4.9,mww,,122,14.009,0.66,us,us7000gizp,2022-02-08T01:34:48.040Z,"Kamchatka Peninsula, Russia",earthquake,10.8,1.8,0.098,10,reviewed,us,us
2022-02-08T00:52:22.290Z,38.8081665,-122.8225021,2.02,1.19,md,32,54,0.005263,0.03,nc,nc73689886,2022-02-08T03:05:11.641Z,"7km WNW of The Geysers, CA",earthquake,0.18,0.28,0.13,7,automatic,nc,nc
2022-02-08T00:49:05.340Z,39.4746667,-123.2923333,8.23,1.44,md,17,63,0.03542,0.07,nc,nc73689881,2022-02-08T06:21:16.814Z,"9km ENE of Brooktrails, CA",earthquake,0.2,0.36,0.176,16,reviewed,nc,nc
2022-02-08T00:41:48.210Z,38.8321648,-122.8176651,1.86,0.36,md,12,57,0.01058,0.01,nc,nc73689876,2022-02-08T02:40:11.615Z,"8km NW of The Geysers, CA",earthquake,0.32,0.7,,1,automatic,nc,nc
2022-02-08T00:33:13.649Z,59.9602,-152.9485,110.4,1.4,ml,,,,0.43,ak,ak0221si5n00,2022-02-08T00:39:50.754Z,"65 km WNW of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
